번호,시간,회사명,종목코드,공시제목,제출인,접수일자
54,15:27,에스엠비나,299670,주식매수선택권부여에관한신고,에스엠비나,2020-03-27
55,15:28,시그넷이브이,260870,정기주주총회 결과,시그넷이브이,2020-03-27
56,15:28,이비테크,208850,사외이사의선임ㆍ해임또는중도퇴임에관한신고,이비테크,2020-03-27
57,15:29,휴럼,284420,정기주주총회 결과,휴럼,2020-03-27
58,15:29,애드바이오텍,179530,사업보고서(일반법인),애드바이오텍,2020-03-27
59,15:30,에스엠비나,299670,정기주주총회 결과,에스엠비나,2020-03-27
60,15:31,에스엠비나,299670,사외이사의선임ㆍ해임또는중도퇴임에관한신고,에스엠비나,2020-03-27
61,15:33,엔에스컴퍼니,224760,사업보고서(일반법인),엔에스컴퍼니,2020-03-27
62,15:37,이십일스토어,270020,조회공시 요구(풍문 또는 보도)(감사의견 비적정설),코넥스시장,2020-03-27
63,15:37,이십일스토어,270020,주권매매거래정지(감사의견 비적정설),코넥스시장,2020-03-27
64,15:39,애드바이오텍,179530,정기주주총회 결과,애드바이오텍,2020-03-27
65,15:40,디피코,163430,증권 발행결과(자율공시)(제3자배정 유상증자),디피코,2020-03-27
66,15:40,럭스피아,092590,사업보고서(일반법인),럭스피아,2020-03-27
67,15:48,SGA임베디드,224880,사업보고서(일반법인),에스지에이임베디드,2020-03-27
68,15:58,에이비온,203400,정기주주총회 결과,에이비온,2020-03-27
69,16:00,포레스팅블록체인,227420,정기주주총회 결과,포레스팅블록체인,2020-03-27
70,16:00,비엔디생활건강,215050,정기주주총회 결과,비엔디생활건강,2020-03-27
71,16:01,에이비온,203400,주식매수선택권부여에관한신고,에이비온,2020-03-27
72,16:07,에이비온,203400,주식매수선택권부여에관한신고,에이비온,2020-03-27
73,16:08,지놈앤컴퍼니,314130,사외이사의선임ㆍ해임또는중도퇴임에관한신고,지놈앤컴퍼니,2020-03-27
74,16:10,에스알바이오텍,270210,주식등의대량보유상황보고서(일반),비투링크,2020-03-27
75,16:12,,999950,배당락 안내(3월 결산법인 배당락 기준가격 안내),코넥스시장,2020-03-27
76,16:26,네추럴FNP,086220,사업보고서(일반법인),네추럴에프앤피,2020-03-27
77,16:29,유투바이오,221800,임원ㆍ주요주주특정증권등소유상황보고서,허성철,2020-03-27
78,16:34,툴젠,199800,임원ㆍ주요주주특정증권등소유상황보고서,김종문,2020-03-27
79,16:43,선바이오,067370,[투자주의]특정계좌(군) 매매관여 과다종목,시장감시위원회,2020-03-27
80,16:43,휴벡셀,212310,매매거래정지 예고,시장감시위원회,2020-03-27
81,16:43,휴벡셀,212310,투자위험종목 지정예고,시장감시위원회,2020-03-27
82,16:43,선바이오,067370,[투자주의]소수지점ㆍ소수계좌 거래집중 종목,시장감시위원회,2020-03-27
83,16:44,앤유엔터테인먼트,266170,유상증자결정(제3자배정),앤유엔터테인먼트,2020-03-27
84,16:54,씨알푸드,236030,사외이사의선임ㆍ해임또는중도퇴임에관한신고,씨알푸드,2020-03-27
85,16:56,다이오진,271850,감사보고서 제출,다이오진,2020-03-27
86,17:20,유엑스엔,337840,정기주주총회 결과,유엑스엔,2020-03-27
87,17:21,유엑스엔,337840,본점소재지변경,유엑스엔,2020-03-27
88,17:27,포레스팅블록체인,227420,상호변경 안내,포레스팅블록체인,2020-03-27
89,17:28,엘에이티,311060,사업보고서(일반법인),엘에이티,2020-03-27
90,17:44,씨알푸드,236030,정기주주총회 결과,씨알푸드,2020-03-27
91,17:49,루켄테크놀러지스,162120,정기주주총회 결과,루켄테크놀러지스,2020-03-27
92,17:51,태양기계,116100,정기주주총회 결과,태양기계,2020-03-27
93,18:08,,999950,대량매매 내역(코넥스시장),코넥스시장,2020-03-27
94,18:25,앤유엔터테인먼트,266170,감사보고서 제출,앤유엔터테인먼트,2020-03-27
95,18:28,원텍,216280,감사보고서 제출,원텍,2020-03-27
96,19:01,피엔에이치테크,239890,감사보고서 제출,피엔에이치테크,2020-03-27
97,19:57,볼빅,206950,감사보고서 제출,볼빅,2020-03-27
