충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,
구월3동주민센터,인천광역시 남동구 문화서로 84,인천광역시,-,09:00,18:00,Y,N,-,1,0,N,인천광역시 남동구 문화서로 84 구월3동주민센터,인천광역시 남동구 구월동 1098-7,에버온,1661-7766,37.4526543,126.6969208,2019-06-27,3530000,인천광역시 남동구,
구월2동주민센터,인천광역시 남동구 구월로 208,인천광역시,-,09:00,18:00,Y,N,-,1,0,N,인천광역시 남동구 구월로 208 구월2동주민센터,인천광역시 남동구 구월동 23-1,에버온,1661-7766,37.4561108781,126.7133431,2019-06-27,3530000,인천광역시 남동구,
간석3동주민센터,인천광역시 남동구 용천로 186,인천광역시,-,09:00,18:00,Y,N,-,1,0,N,인천광역시 남동구 용천로 186 간석3동주민센터,인천광역시 남동구 간석동 49-1,에버온,1661-7766,37.4661116874,126.7146172,2019-06-27,3530000,인천광역시 남동구,
장수서창동주민센터,인천광역시 남동구 독곡로 28(서창동) 장수서창동주민센터,인천광역시,-,09:00,18:00,Y,N,-,1,0,N,인천광역시 남동구 독곡로 28(서창동) 장수서창동주민센터,인천광역시 남동구 서창동 558-2,에버온,1661-7766,37.4358832701,126.7473657727,2019-06-27,3530000,인천광역시 남동구,
만수6동주민센터,인천광역시 남동구 장승남로 47(만수동) 만수6동주민센터,인천광역시,-,09:00,18:00,Y,N,-,1,0,N,인천광역시 남동구 장승남로 47(만수동) 만수6동주민센터,인천광역시 남동구 만수동 1020,에버온,1661-7766,37.4437265,126.7376429,2019-06-27,3530000,인천광역시 남동구,
만수5동주민센터,인천광역시 남동구 만경로28번길 3(만수동) 만수5동주민센터,인천광역시,-,09:00,18:00,Y,N,-,1,0,N,인천광역시 남동구 만경로28번길 3(만수동) 만수5동주민센터,인천광역시 남동구 만수동 876,에버온,1661-7766,37.4577629,126.7277420,2019-06-27,3530000,인천광역시 남동구,
만수4동주민센터,인천광역시 남동구 만수로50번길 39(만수동) 만수4동주민센터,인천광역시,-,09:00,18:00,Y,N,-,1,0,N,인천광역시 남동구 만수로50번길 39(만수동) 만수4동주민센터,인천광역시 남동구 만수동 21,에버온,1661-7766,37.4594550,126.7356288,2019-06-27,3530000,인천광역시 남동구,
만수3동주민센터,인천광역시 남동구 서판로 11(만수동) 만수3동주민센터,인천광역시,-,09:00,18:00,Y,N,-,1,0,N,인천광역시 남동구 서판로 11(만수동) 만수3동주민센터,인천광역시 남동구 만수동 847-1,에버온,1661-7766,37.4619204,126.7230033091,2019-06-27,3530000,인천광역시 남동구,
만수2동주민센터,인천광역시 남동구 만수서로 46(만수동) 만수2동주민센터,인천광역시,-,09:00,18:00,Y,N,-,1,0,N,인천광역시 남동구 만수서로 46(만수동) 만수2동주민센터,인천광역시 남동구 만수동 1116-2,에버온,1661-7766,37.4613893968,126.7311617448,2019-06-27,3530000,인천광역시 남동구,
만수1동주민센터,인천광역시 남동구 인주대로 851(만수동) 만수1동주민센터,인천광역시,-,09:00,18:00,Y,N,-,1,0,N,인천광역시 남동구 인주대로 851(만수동) 만수1동주민센터,인천광역시 남동구 만수동 983-5,에버온,1661-7766,37.4487194145,126.7319587,2019-06-27,3530000,인천광역시 남동구,
논현고잔동주민센터,인천광역시 남동구 앵고개로847번길 32(논현동) 논현고잔동주민센터,인천광역시,-,09:00,18:00,Y,N,-,1,0,N,인천광역시 남동구 앵고개로847번길 32(논현동) 논현고잔동주민센터,인천광역시 남동구 논현동 744-4,에버온,1661-7766,37.3977668402,126.7263883829,2019-06-27,3530000,인천광역시 남동구,
논현2동주민센터,인천광역시 남동구 논현고잔로 248 (논현동) 논현2동주민센터,인천광역시,-,09:00,18:00,Y,N,-,1,0,N,인천광역시 남동구 논현고잔로 248 (논현동) 논현2동주민센터,인천광역시 남동구 논현동 633-3,에버온,1661-7766,37.4042234154,126.7163847,2019-06-27,3530000,인천광역시 남동구,
논현1동주민센터,인천광역시 남동구 소래역로 115(논현동) 논현1동주민센터,인천광역시,-,09:00,18:00,Y,N,-,1,0,N,인천광역시 남동구 소래역로 115(논현동) 논현1동주민센터,인천광역시 남동구 논현동 603-5,에버온,1661-7766,37.4056486,126.7293105,2019-06-27,3530000,인천광역시 남동구,
간석1동주민센터,인천광역시 남동구 구월로137번길 39 (간석동) 간석1동주민센터,인천광역시,-,09:00,18:00,Y,N,-,1,0,N,인천광역시 남동구 구월로137번길 39 (간석동) 간석1동주민센터,인천광역시 남동구 간석동 353-4,에버온,1661-7766,37.4586138538,126.7052772,2019-06-27,3530000,인천광역시 남동구,
한국전기안전공사 인천지역본부(직원),인천광역시 남동구 성말로 13번길 36-9,인천광역시,-,10:00,18:00,Y,N,-,2,0,Y,인천광역시 남동구 성말로13번길 36-9 한국전기안전공사 인천지역본부,인천광역시 남동구 구월동 1452-1,대영채비,1522-2573,37.4472949286,126.7029506784,2019-06-27,3530000,인천광역시 남동구,
목포관광안내소,전라남도 목포시 영산로 843 목포관광안내소 옆(무안에서 목포로진입해서 오른쪽 목포관광안내소옆),전라남도,연중무휴,00:00,00:00,N,Y,,0,1,N,전라남도 목포시 영산로 843,,한국자동차환경협회,,34.838268,126.422267,2019-10-08,4800000,전라남도 목포시,
목포시청 민원주차장,전라남도 목포시청 의회 뒷편주차장,전라남도,연중무휴,00:00,00:00,N,Y,,1,1,N,전라남도 목포시 양을로 203,,한국자동차환경협회,,34.8115341357,126.3912845125,2019-10-08,4800000,전라남도 목포시,
한국전력,전라남도 목포시 한국전력공사목포지점내,전라남도,연중무휴,00:00,00:00,N,Y,,0,1,N,전라남도 목포시 삼학로370,,한국전력,,34.8040442948,126.4093622424,2019-10-08,4800000,전라남도 목포시,
목포시 LGBESTSHOP(목포상동점),전라남도 목포시 상동LG전자주차장내,전라남도,연중무휴,00:00,00:00,Y,N,,1,0,N,전라남도 목포시 백년대로282,,포스코ICT,,34.8028650840,126.4190615839,2019-10-08,4800000,전라남도 목포시,
북항광장 공영주차장,전라남도 목포시 죽교천로 131,전라남도,연중무휴,00:00,00:00,N,Y,,0,1,N,전라남도 목포시 죽교천로 131,,한국전력,,34.80293052,126.3684417,2019-10-08,4800000,전라남도 목포시,
자동차등록사무소,전라남도 목포시 연산로 197(연산동),전라남도,연중무휴,00:00,00:00,N,Y,,0,1,N,전라남도 목포시 연산로 197,,한국전력,,34.81306209,126.3765482,2019-10-08,4800000,전라남도 목포시,
원형2공영주차장,전라남도 목포시 상동 1130(롯데시네마 옆),전라남도,연중무휴,00:00,00:00,N,Y,,0,1,N,전라남도 목포시 원형로 42,,한국전력,,34.79921837,126.4323845,2019-10-08,4800000,전라남도 목포시,
원형1공영주차장,전라남도 목포시 원형로 8,전라남도,연중무휴,00:00,00:00,N,Y,,0,1,N,전라남도 목포시 원형로 8,,한국전력,,34.7981905,126.4302622,2019-10-08,4800000,전라남도 목포시,
신흥동 주민센터,전라남도 목포시 하당로 66(상동),전라남도,연중무휴,00:00,00:00,N,Y,,0,1,N,전라남도 목포시 하당로 66,,한국전력,,34.79884473,126.4188199,2019-10-08,4800000,전라남도 목포시,
부주동 행정복지센터,전라남도 목포시 남악1로 51번가길 2(옥암동),전라남도,연중무휴,00:00,00:00,N,Y,,0,1,N,전라남도 목포시 남악1로 51,,한국전력,,34.8094639472,126.4446849838,2019-10-08,4800000,전라남도 목포시,
동부시장공영주차장,전라남도 목포시 영산로 257번길 15(동부시장 옆),전라남도,연중무휴,00:00,00:00,N,Y,,0,1,N,전라남도 목포시 영산로 257번길 15,,한국전력,,34.80454186,126.3933685883,2019-10-08,4800000,전라남도 목포시,
목포유통센터,전라남도 목포시 선곡로 33,전라남도,연중무휴,00:00,00:00,N,Y,,0,2,N,전라남도 목포시 선곡로 33,,한국전력,,34.8191543065,126.4295625976,2019-10-08,4800000,전라남도 목포시,
충청북도 제천시 한국전력제천지사,외부 주차장,충청북도,연중무휴,00:00,23:59,Y,N,,1,,N,충청북도 제천시 풍양로 57(의림동),충청북도 제천시 의림동 117 한국전력제천지점,,,37.139300,128.206638,2019-09-23,4400000,충청북도 제천시,
충청북도 제천시 청풍면사무소,외부 주차장,충청북도,연중무휴,00:00,23:59,Y,N,,1,,N,충청북도 제천시 청풍면 청풍호로 2115,충청북도 제천시 청풍면 물태리 133 청풍면사무소,,,37.000946,128.168571,2019-09-23,4400000,충청북도 제천시,
충청북도 제천시 관광정보센터,외부 주차장,충청북도,연중무휴,00:00,23:59,Y,N,,1,,N,충청북도 제천시 청풍면 청풍호로50길 6,충청북도 제천시 청풍면 교리 147,,,37.0108335579,128.1811894602,2019-09-23,4400000,충청북도 제천시,
충청북도 제천시 수산면사무소,외부 주차장,충청북도,연중무휴,00:00,23:59,Y,N,,1,,N,충청북도 제천시 수산면 월악로26길 39,충청북도 제천시 수산면 수산리 601-7,,,36.9338282965,128.1807631713,2019-09-23,4400000,충청북도 제천시,
충청북도 제천시 수산복지회관,외부 주차장,충청북도,연중무휴,00:00,23:59,Y,N,,1,,N,충청북도 제천시 수산면 지곡로 1,충청북도 제천시 수산면 수산리 609-9,,,36.934616,128.185277,2019-09-23,4400000,충청북도 제천시,
충청북도 제천시 금성면사무소,외부 주차장,충청북도,연중무휴,00:00,23:59,Y,N,,1,,N,충청북도 제천시 금성면 청풍호로 1045,충청북도 제천시 금성면 구룡리 66-11,,,37.0618247153,128.168412,2019-09-23,4400000,충청북도 제천시,
충청북도 제천시 덕산면사무소,외부 주차장,충청북도,연중무휴,00:00,23:59,Y,N,,1,,N,충청북도 제천시 덕산면 약초로 59,충청북도 제천시 덕산면 도전리 800-1,,043-641-4202,36.912033,128.164399,2019-09-23,4400000,충청북도 제천시,
충청북도 제천시 신백동주민센터,외부 주차장,충청북도,연중무휴,00:00,23:59,Y,N,,1,,N,충청북도 제천시 의병대로34길 50,충청북도 제천시 신백동 306-1,,,37.128379,128.223249,2019-09-23,4400000,충청북도 제천시,
충청북도 제천시 봉양읍행정복지센터,외부 주차장,충청북도,연중무휴,00:00,23:59,Y,N,,1,,N,충청북도 제천시 봉양읍 주포로 83,충청북도 제천시 봉양읍 주포리 164-2,,043-641-4023,37.1328484547,128.1215631231,2019-09-23,4400000,충청북도 제천시,
충청북도 제천시 한수면사무소,외부 주차장,충청북도,연중무휴,00:00,23:59,Y,N,,1,,N,충청북도 제천시 한수면 미륵송계로8길 26,충청북도 제천시 한수면 송계리 282 한수면사무소,,,36.885498,128.081865,2019-09-23,4400000,충청북도 제천시,
충청북도 제천시 백운면사무소,외부 주차장,충청북도,연중무휴,00:00,23:59,Y,N,,1,,N,충청북도 제천시 백운면 애련로 13,충청북도 제천시 백운면 평동리 209-2 백운면사무소,,043-641-4282,37.137770,128.025817,2019-09-23,4400000,충청북도 제천시,
충청북도 제천시 건설민원동 주차장,외부 주차장,충청북도,연중무휴,00:00,23:59,N,Y,AC3상+DC차 데모,,1,N,충청북도 제천시 내토로 295(천남동),충청북도 제천시 천남동 12-2 제천시청,,043-641-5723,37.133013,128.191499,2019-09-23,4400000,충청북도 제천시,
충청북도 제천시 송학면사무소,외부 주차장,충청북도,연중무휴,00:00,23:59,Y,N,,1,,N,충청북도 제천시 송학면 시곡포전로1길 14-2,충청북도 제천시 송학면 시곡리 1157 송학면사무소,,043-641-4323,37.184938,128.260917,2019-09-23,4400000,충청북도 제천시,
충청북도 제천시 영서동주민센터,외부 주차장,충청북도,연중무휴,00:00,23:59,Y,N,,1,,N,충청북도 제천시 동명로 11(서부동),충청북도 제천시 서부동 1155 영서동주민센터,,,37.132810,128.201785,2019-09-23,4400000,충청북도 제천시,
충청북도 제천시 용두동주민센터,외부 주차장,충청북도,연중무휴,00:00,23:59,Y,N,,1,,N,충청북도 제천시 용두대로17길 8,충청북도 제천시 하소동 323-24,,043-641-4512,37.1423156970,128.200392,2019-09-23,4400000,충청북도 제천시,
무주읍주민자치센터,전북 무주군 무주읍 향학로 49번,전라북도,없음,00:00,23:59,N,Y,"DC차데모, AC3상, DC콤보",0,1,N,전라북도 무주군 무주읍 향학로 49,전라북도 무주군 무주읍 읍내리 315-1,,1661-9408,36.0086584853,127.6618419427,2019-11-25,4740000,전라북도 무주군,
안성면주민자치센터,전북 무주군 안성면 안성로 246-17,전라북도,없음,00:00,23:59,N,Y,"DC차데모, AC3상, DC콤보",0,1,N,전라북도 무주군 안성면 안성로 246-17,전라북도 무주군 안성면 장기리 1556,,1661-9409,35.8634832965,127.6530465099,2019-11-25,4740000,전라북도 무주군,
무주예체문화관,전라북도 무주군 무주읍 한풍루로 326-17,전라북도,없음,00:00,23:59,Y,N,"DC차데모, AC3상, DC콤보",0,1,N,전라북도 무주군 무주읍 한풍루로 326-17,전라북도 무주군 무주읍 당산리 1199-3,,,36.0023606058,127.6625301902,2019-11-25,4740000,전라북도 무주군,
덕유산국립공원 관리사무소,전라북도 무주군 설천면 구천동1로 159,전라북도,없음,00:00,23:59,N,Y,"DC차데모, AC3상, DC콤보",0,1,N,전라북도 무주군 설천면 구천동1로 159,전라북도 무주군 설천면 삼공리 411-8,,,35.9007111,127.7751040346,2019-11-25,4740000,전라북도 무주군,
한국전력 무주지사,전라북도 무주군 무주읍 죽향로 31-16,전라북도,없음,00:00,23:59,N,Y,"DC차데모, AC3상, DC콤보",0,1,N,전라북도 무주군 무주읍 죽향로 31-16,전라북도 무주군 무주읍 읍내리 1280-2,,,36.0088808,127.654327,2019-11-25,4740000,전라북도 무주군,
덕유산휴게소(하남방향),전라북도 무주군 안성면 통영대전고속도로 148,전라북도,없음,00:00,23:59,N,Y,"DC차데모, AC3상, DC콤보",0,1,N,전라북도 무주군 안성면 통영대전고속도로 148,전라북도 무주군 안성면 공진리 471,,,35.8176313156,127.6458058760,2019-11-25,4740000,전라북도 무주군,
인창문화센터,1층 주차장,경기도,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경기도 구리시 동구릉로53번길 34(인창동),경기도 구리시 인창동 527-37,한국전력,031-560-3237,37.606411,127.133104,2019-04-23,3980000,경기도 구리시,
롯데아울렛 구리점,지하3층 주차장,경기도,연중무휴,00:00,00:00,Y,N,,2,0,N,경기도 구리시 동구릉로136번길 47(인창동),경기도 구리시 인창동 419-7,포스코ICT,031-723-2532,37.611879,127.140545067,2019-04-23,3980000,경기도 구리시,
구리시 교문자동차공업사,정비소입구 주차장,경기도,연중무휴,00:00,00:00,Y,N,,1,0,N,경기도 구리시 동구릉로200번길 18(인창동),경기도 구리시 인창동 71,포스코ICT,031-723-2532,37.6163408,127.1390448,2019-04-23,3980000,경기도 구리시,
한국전력 구리지사,1층 주차장,경기도,연중무휴,06:00,23:00,N,Y,AC3상+DC차데모+DC콤보,0,2,N,경기도 구리시 안골로 31(교문동),경기도 구리시 교문동 733,한국전력,031-560-3237,37.5977906,127.134918,2019-04-23,3980000,경기도 구리시,
구리시청,본관 건축과 옆 주차장,경기도,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC콤보,0,1,Y,경기도 구리시 아차산로 439(교문동),경기도 구리시 교문동 390-1,환경부(한국자동차환경협회),1661-9408,37.5944593,127.1297442,2019-04-23,3980000,경기도 구리시,
갈매중앙공원,물놀이장 근처 주차장,경기도,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC콤보,0,1,N,,경기도 구리시 갈매동 301-5,한국전기차충전서비스,02-562-5578,37.632971,127.118605,2019-04-23,3980000,경기도 구리시,
구리경찰서,본관왼쪽서편주차장,경기도,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경기도 구리시 아차산로 359(교문동),경기도 구리시 교문동 462-3,한국전기차충전서비스,02-562-5578,37.587279,127.128911,2019-04-23,3980000,경기도 구리시,
구리농수산물공사도매시장,친환경유기농농산물전문매장 근처 주차장,경기도,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경기도 구리시 동구릉로136번길 90(인창동),경기도 구리시 인창동 127,한국전기차충전서비스,02-562-5578,37.6132366,127.1448505,2019-04-23,3980000,경기도 구리시,
구리시 교문1동 행정복지센터,지상주차장,경기도,연중무휴,00:00,00:00,Y,N,,1,0,N,경기도 구리시 경춘로 111(교문동),경기도 구리시 교문동 262-4,포스코ICT,031-723-2532,37.601174,127.127681,2019-04-23,3980000,경기도 구리시,
구리시 보건소,지하1층 주차장,경기도,연중무휴,00:00,00:00,Y,N,,1,0,N,경기도 구리시 건원대로34번길 84(인창동),경기도 구리시 인창동 674-3,포스코ICT,031-723-2532,37.6045574,127.145081,2019-04-23,3980000,경기도 구리시,
구리시 수택1동 행정복지센터,지상주차장,경기도,연중무휴,00:00,00:00,Y,N,,1,0,N,경기도 구리시 검배로93번길 35(수택동),경기도 구리시 수택동 495-8,포스코ICT,031-723-2532,37.596421,127.149148,2019-04-23,3980000,경기도 구리시,
구리시 수택2동 행정복지센터,지상주차장,경기도,연중무휴,00:00,00:00,Y,N,,1,0,N,경기도 구리시 원수택로12번길 16(수택동),경기도 구리시 수택동 445-28,포스코ICT,031-723-2532,37.593192,127.140062,2019-04-23,3980000,경기도 구리시,
구리휴게소(외측방향),소형차 주차장 중앙,경기도,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경기도 구리시 서울외곽순환고속도로 32(사노동),경기도 구리시 사노동 170-13,환경부(한국자동차환경협회),031-529-3564,37.6277895895,127.139365191,2019-04-23,3980000,경기도 구리시,
장자마을 동양아파트,지하1층 주차장,경기도,연중무휴,00:00,00:00,Y,N,,3,0,Y,"경기도 구리시 장자대로 66(교문동, 동양아파트)",경기도 구리시 교문동 825,지엔텔,031-555-4504,37.5867021,127.1369746,2019-04-23,3980000,경기도 구리시,
구리시 동구동 행정복지센터,주차장,경기도,연중무휴,00:00,00:00,Y,N,,1,0,N,경기도 구리시 동구릉로148번길 25,경기도 구리시 인창동 699-1,포스코ICT,031-723-2532,37.611730,127.139300,2019-04-23,3980000,경기도 구리시,
구리갈매푸르지오아파트,단지내,경기도,연중무휴,00:00,00:00,Y,N,,13,0,N,경기도 구리시 갈매중앙로 16,경기도 구리시 갈매동 640,포스코ICT,031-723-2532,37.6265946713,127.11442753,2019-04-23,3980000,경기도 구리시,
구리시 수택3동 행정복지센터,주차장,경기도,연중무휴,00:00,00:00,N,Y,DC콤보,0,2,Y,경기도 구리시 체육관로 74,경기도 구리시 수택동 848,한국전기차충전서비스,02-562-5578,37.591400,127.1386065,2019-04-23,3980000,경기도 구리시,
한국지엠구리바로서비스,주차장,경기도,연중무휴,00:00,00:00,Y,N,,1,0,N,경기도 구리시 한다리길 21,경기도 구리시 교문동 640-2,케이티,1522-0123,37.580410,127.127400,2019-04-23,3980000,경기도 구리시,
해남광장,외부 주차장,전라남도,연중무휴,00:00,23:59,N,Y,,,1,N,전라남도 해남군 해남읍 해남로 160-60,전라남도 해남군 해남읍 신안리 6,한국자동차환경협회,070-4027-0546,34.5661912,126.622121,2019-06-19,4930000,전라남도 해남군,
우수영관광지,외부 주차장,전라남도,연중무휴,00:00,23:59,N,Y,,,1,N,전라남도 해남군 문내면 관광레저로 12,전라남도 해남군 문내면 학동리 1021,한국자동차환경협회,070-4027-0546,34.5728862,126.3103284,2019-06-19,4930000,전라남도 해남군,
땅끝해변주차장,외부 주차장,전라남도,연중무휴,00:00,23:59,N,Y,,,1,N,전라남도 해남군 송지면 송호리 1051,전라남도 해남군 송지면 송호리 1051,한국자동차환경협회,070-4027-0546,34.3120031,126.5208404,2019-06-19,4930000,전라남도 해남군,
해남군청 주차장,외부 주차장,전라남도,연중무휴,00:00,23:59,N,Y,,,1,N,전라남도 해남군 해남읍 수성리 184-2,전라남도 해남군 해남읍 수성리 184-2,한국자동차환경협회,070-4027-0546,34.574341,126.597913,2019-06-19,4930000,전라남도 해남군,
두륜산도립공원,외부 주차장,전라남도,연중무휴,00:00,23:59,N,Y,,,1,N,전라남도 해남군 삼산면 구림리 146-14,전라남도 해남군 삼산면 구림리 146-14,한국자동차환경협회,070-4027-0546,34.497731,126.619697,2019-06-19,4930000,전라남도 해남군,
